team_id,position,goals_actual,assists_actual,yellow_cards_actual,red_cards_actual,minutes_actual,starting_eleven_actual,substituted_in_actual,on_bench_actual,suspended_actual,injured_actual,absence_actual,number_of_matches_actual,minutes_predicted,yellow_cards_predicted,red_cards_predicted,starting_eleven_predicted,substituted_in_predicted,on_bench_predicted,suspended_predicted,injured_predicted,absence_predicted,number_of_matches_predicted,goals_predicted,assists_predicted,minutes_error,yellow_cards_error,red_cards_error,goals_error,assists_error,starting_eleven_error,substituted_in_error,on_bench_error,suspended_error,injured_error,absence_error,number_of_matches_error
3379,Midfield,1.0,4.0,6.0,0.0,2184.0,24.0,8.0,10.0,0.0,0.0,0.0,6,1411,2,0,15,6,9,0,0,0,5,2.0,2.0,773.0,4.0,0.0,-1.0,2.0,9.0,2.0,1.0,0.0,0.0,0.0,1
3383,Attack,2.0,0.0,3.0,0.0,543.0,5.0,6.0,8.0,1.0,0.0,0.0,4,766,2,0,8,6,6,0,0,0,5,2.0,1.0,-223.0,1.0,0.0,0.0,-1.0,-3.0,0.0,2.0,1.0,0.0,0.0,-1
3383,Defense,1.0,2.0,6.0,0.0,1274.0,15.0,4.0,12.0,0.0,1.0,0.0,4,1475,3,0,16,2,11,0,0,0,5,1.0,1.0,-201.0,3.0,0.0,0.0,1.0,-1.0,2.0,1.0,0.0,1.0,0.0,-1
3383,Goalkeeper,,,0.0,0.0,360.0,4.0,0.0,8.0,0.0,0.0,0.0,4,328,0,0,3,0,6,0,0,0,5,,,32.0,0.0,0.0,,,1.0,0.0,2.0,0.0,0.0,0.0,-1
3383,Midfield,3.0,5.0,3.0,0.0,1785.0,20.0,9.0,11.0,0.0,0.0,0.0,4,1785,3,0,19,6,13,0,0,0,5,2.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,-2.0,0.0,0.0,0.0,-1
3377,Attack,2.0,4.0,3.0,0.0,1858.0,19.0,14.0,15.0,0.0,0.0,0.0,6,1695,2,0,18,9,12,0,0,0,5,6.0,4.0,163.0,1.0,0.0,-4.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,1
3377,Defense,0.0,0.0,1.0,0.0,2280.0,24.0,0.0,24.0,0.0,0.0,0.0,6,1755,4,0,19,4,14,0,0,0,5,2.0,2.0,525.0,-3.0,0.0,-2.0,-2.0,5.0,-4.0,10.0,0.0,0.0,0.0,1
3377,Goalkeeper,,,0.0,0.0,570.0,6.0,0.0,12.0,0.0,0.0,0.0,6,475,0,0,5,0,9,0,0,0,5,,,95.0,0.0,0.0,,,1.0,0.0,3.0,0.0,0.0,0.0,1
3377,Midfield,0.0,0.0,5.0,0.0,1051.0,11.0,6.0,12.0,0.0,0.0,0.0,6,1339,3,0,14,3,10,0,0,0,5,1.0,2.0,-288.0,2.0,0.0,-1.0,-2.0,-3.0,3.0,2.0,0.0,0.0,0.0,1
3447,Attack,1.0,2.0,1.0,0.0,893.0,10.0,9.0,12.0,0.0,0.0,0.0,4,1163,2,0,13,7,8,0,0,0,3,4.0,2.0,-270.0,-1.0,0.0,-3.0,0.0,-3.0,2.0,4.0,0.0,0.0,0.0,1
3447,Defense,0.0,0.0,3.0,0.0,1443.0,16.0,2.0,9.0,1.0,0.0,0.0,4,1110,2,0,12,2,8,0,0,0,3,1.0,1.0,333.0,1.0,0.0,-1.0,-1.0,4.0,0.0,1.0,1.0,0.0,0.0,1
3447,Goalkeeper,,,0.0,0.0,360.0,4.0,0.0,8.0,0.0,0.0,0.0,4,310,0,0,3,0,7,0,0,0,3,,,50.0,0.0,0.0,,,1.0,0.0,1.0,0.0,0.0,0.0,1
3447,Midfield,3.0,1.0,4.0,0.0,1246.0,14.0,5.0,9.0,0.0,0.0,0.0,4,982,2,0,11,4,8,0,0,0,3,1.0,1.0,264.0,2.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1
3699,Attack,1.0,0.0,2.0,0.0,751.0,8.0,6.0,5.0,0.0,2.0,0.0,3,1210,2,0,13,7,8,0,0,0,5,3.0,2.0,-459.0,0.0,0.0,-2.0,-2.0,-5.0,-1.0,-3.0,0.0,2.0,0.0,-2
3699,Defense,0.0,1.0,1.0,0.0,1162.0,13.0,3.0,14.0,0.0,0.0,0.0,3,1822,4,0,20,2,14,0,1,0,5,1.0,2.0,-660.0,-3.0,0.0,-1.0,-1.0,-7.0,1.0,0.0,0.0,-1.0,0.0,-2
3699,Goalkeeper,,,0.0,0.0,270.0,3.0,0.0,6.0,0.0,0.0,0.0,3,438,0,0,5,0,9,0,0,0,5,,,-168.0,0.0,0.0,,,-2.0,0.0,-3.0,0.0,0.0,0.0,-2
